system:index,cap_year,capacitymw,comm_year,country,country_lg,fuel1,fuel2,fuel3,fuel4,gppd_idnr,gwh_2013,gwh_2014,gwh_2015,gwh_2016,gwh_estimt,latitude,longitude,name,owner,source,src_latlon,url,.geo
00000000000000005fa7,0.0,11.2,0.0,IND,India,Wind,,,,WRI1026655,0.0,0.0,0.0,0.0,114.09895397776347,10.7389,77.416,Bannari Amman Spinning Mills Wind Power Project,Enercon India Ltd.,CDM,WRI,https://cdm.unfccc.int/filestorage/S/7/J/S7JBL0QFRHWA1DEZ2O4NUTG5Y6VKMP/PDD%20BASML%20Version%2003.pdf?t=Mmh8b2pxZWR0fDDj8zCpobgUeh2ry3t0r5N5,"{""type"":""Point"",""coordinates"":[77.41599820458056,10.738910337443627]}"
00000000000000005fa9,0.0,21.0,0.0,IND,India,Wind,,,,WRI1026656,0.0,0.0,0.0,0.0,213.93553870830652,10.8674,77.4588,HZL Palladum Wind Farm,HZL,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1352807242.64/view,"{""type"":""Point"",""coordinates"":[77.4588168621328,10.867411193389184]}"
00000000000000005faa,0.0,1.7,0.0,IND,India,Wind,,,,WRI1026759,0.0,0.0,0.0,0.0,17.31859122876767,10.838,77.5123,UPL Dharapuram Wind Farm,UPL,CDM,WRI,https://cdm.unfccc.int/Projects/DB/RWTUV1351718801.6/view,"{""type"":""Point"",""coordinates"":[77.51231774242868,10.838012639199754]}"
00000000000000005fab,0.0,56.25,0.0,IND,India,Wind,,,,WRI1026067,0.0,0.0,0.0,0.0,573.0416215401067,10.6558,77.2471,Kottamangalam Wind Farm,,CDM,WRI,https://cdm.unfccc.int/filestorage/a/1/0JPNG5S4A821KD6IUHWBOEYRVFTL3X.pdf/ALWE%20PDD_Ver%206%20_06.03.2013_%20Clean%20.pdf?t=dlV8b2picjMyfDAQ_TbHluMZz9jMHYOK8XbU,"{""type"":""Point"",""coordinates"":[77.24710238868006,10.65578648651413]}"
00000000000000005fac,0.0,25.7,0.0,IND,India,Wind,,,,WRI1026066,0.0,0.0,0.0,0.0,261.8163497525465,10.6143,77.237,Udumalpet Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1174563974.61/view,"{""type"":""Point"",""coordinates"":[77.23700364869133,10.614314327627053]}"
00000000000000005fb8,0.0,68.8,0.0,IND,India,Wind,,,,WRI1026095,0.0,0.0,0.0,0.0,700.8935744348328,13.7276,76.5137,Enercon Chitradurga Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1185356859.49/view,"{""type"":""Point"",""coordinates"":[76.51370944905368,13.727598774643266]}"
00000000000000005fbb,0.0,50.4,0.0,IND,India,Wind,,,,WRI1026351,0.0,0.0,0.0,0.0,513.4452928999356,14.1651,77.5713,Nallakonda Wind Farm,Tadas Wind Energy,CDM,WRI,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1355495522.4/view,"{""type"":""Point"",""coordinates"":[77.5712943839629,14.165121074244123]}"
00000000000000005fc0,0.0,200.0,0.0,IND,India,Wind,,,,WRI1026659,0.0,0.0,0.0,0.0,2037.4813210314906,14.7053,77.3355,Thimmapuram Wind Farm,Rayala Wind Power Company Private Limited,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1351859167.83/view,"{""type"":""Point"",""coordinates"":[77.3354775844037,14.705291455419376]}"
00000000000000005fc8,0.0,7.2,0.0,IND,India,Wind,,,,WRI1026352,0.0,0.0,0.0,0.0,73.34932755713366,15.7319,75.3789,Nargund Wind Farm,Bhoruka Power,CDM,WRI,https://cdm.unfccc.int/Projects/DB/PJR%20CDM1353582075.03/view,"{""type"":""Point"",""coordinates"":[75.37888037405284,15.731906921029807]}"
00000000000000005fca,0.0,24.8,0.0,IND,India,Wind,,,,WRI1026073,0.0,0.0,0.0,0.0,252.64768380790483,15.4038,75.5625,Belgaum Gadag Wind Farm,,CDM,WRI,https://cdm.unfccc.int/Projects/DB/DNV-CUK1204705646.68/view,"{""type"":""Point"",""coordinates"":[75.56249790869246,15.403810079618]}"
