"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,JAN-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,FEB-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,MAR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,APR-2021,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"CATEGORY /
REGIONS /
STATE /
STATIONS",,,"Monitored
Capacity
(MW)",Target,,,"SUM Monitored
Capacity
(MW)",SUM Target,,
PVT SECTOR,NATURAL GAS,,503.10,890.00,79.00,53.81,PVT SECTOR,NATURAL GAS,,503.10,890.00,72.00,50.23,PVT SECTOR,NATURAL GAS,,503.10,890.00,47.00,29.39,PVT SECTOR,NATURAL GAS,,503.10,850.00,69.00,32.38,PVT SECTOR,NATURAL GAS,,503.10,850.00,71.00,42.75,PVT SECTOR,NATURAL GAS,,503.10,850.00,69.00,63.75,PVT SECTOR,NATURAL GAS,,503.10,850.00,71.00,31.71,PVT SECTOR,NATURAL GAS,,503.10,850.00,73.00,24.56,PVT SECTOR,NATURAL GAS,,503.10,850.00,71.00,23.87,PVT SECTOR,NATURAL GAS,,503.10,850.00,73.00,24.64,PVT SECTOR,NATURAL GAS,,503.10,850.00,71.00,2.91,PVT SECTOR,NATURAL GAS,,503.10,850.00,73.00,1.71,6037.20,10320.00,572.00,787.90
CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,CENTRAL SECTOR,,,,,,,0.00,0.00,0.00,0.00
NEYVELI ( EXT) TPS,,,420.00,2952.00,270.00,194.32,NEYVELI ( EXT) TPS,,,420.00,2952.00,272.00,261.03,NEYVELI ( EXT) TPS,,,420.00,2952.00,282.00,156.27,NEYVELI ( EXT) TPS,,,420.00,2900.00,255.00,155.77,NEYVELI ( EXT) TPS,,,420.00,2900.00,243.00,293.84,NEYVELI ( EXT) TPS,,,420.00,2900.00,183.00,295.09,NEYVELI ( EXT) TPS,,,420.00,2900.00,156.00,297.84,NEYVELI ( EXT) TPS,,,420.00,2900.00,263.00,307.97,NEYVELI ( EXT) TPS,,,420.00,2900.00,255.00,268.70,NEYVELI ( EXT) TPS,,,420.00,2900.00,263.00,306.29,NEYVELI ( EXT) TPS,,,420.00,2900.00,255.00,181.80,NEYVELI ( EXT) TPS,,,420.00,2900.00,263.00,286.90,5040.00,34956.00,1881.00,4119.43
NEYVELI NEW TPP,,,500.00,4000.00,350.00,231.49,NEYVELI NEW TPP,,,1000.00,4000.00,364.00,319.87,NEYVELI NEW TPP,,,1000.00,4000.00,347.00,508.23,NEYVELI NEW TPP,,,1000.00,4800.00,425.00,539.63,NEYVELI NEW TPP,,,1000.00,4800.00,439.00,501.46,NEYVELI NEW TPP,,,1000.00,4800.00,425.00,463.69,NEYVELI NEW TPP,,,1000.00,4800.00,439.00,678.80,NEYVELI NEW TPP,,,1000.00,4800.00,285.00,392.54,NEYVELI NEW TPP,,,1000.00,4800.00,425.00,567.04,NEYVELI NEW TPP,,,1000.00,4800.00,439.00,359.00,NEYVELI NEW TPP,,,1000.00,4800.00,425.00,338.51,NEYVELI NEW TPP,,,1000.00,4800.00,224.00,541.96,11500.00,55200.00,3101.00,6944.00
NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,NEYVELI TPS-I,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEYVELI TPS-II,,,1470.00,9684.00,845.00,671.12,NEYVELI TPS-II,,,1470.00,9684.00,866.00,742.06,NEYVELI TPS-II,,,1470.00,9684.00,843.00,884.00,NEYVELI TPS-II,,,1470.00,8480.00,751.00,742.06,NEYVELI TPS-II,,,1470.00,8480.00,671.00,907.30,NEYVELI TPS-II,,,1470.00,8480.00,677.00,941.64,NEYVELI TPS-II,,,1470.00,8480.00,687.00,821.65,NEYVELI TPS-II,,,1470.00,8480.00,675.00,872.21,NEYVELI TPS-II,,,1470.00,8480.00,677.00,828.58,NEYVELI TPS-II,,,1470.00,8480.00,696.00,764.40,NEYVELI TPS-II,,,1470.00,8480.00,678.00,562.61,NEYVELI TPS-II,,,1470.00,8480.00,696.00,695.23,17640.00,105372.00,5457.00,11850.62
NEYVELI TPS-II EXP,,,500.00,2850.00,134.00,183.52,NEYVELI TPS-II EXP,,,500.00,2850.00,144.00,217.38,NEYVELI TPS-II EXP,,,500.00,2850.00,280.00,174.38,NEYVELI TPS-II EXP,,,500.00,2690.00,132.00,261.46,NEYVELI TPS-II EXP,,,500.00,2690.00,274.00,239.11,NEYVELI TPS-II EXP,,,500.00,2690.00,132.00,281.15,NEYVELI TPS-II EXP,,,500.00,2690.00,274.00,138.65,NEYVELI TPS-II EXP,,,500.00,2690.00,274.00,88.82,NEYVELI TPS-II EXP,,,500.00,2690.00,264.00,139.89,NEYVELI TPS-II EXP,,,500.00,2690.00,141.00,177.23,NEYVELI TPS-II EXP,,,500.00,2690.00,264.00,110.75,NEYVELI TPS-II EXP,,,500.00,2690.00,141.00,223.79,6000.00,32760.00,1764.00,3163.39
NLC,COAL,,2890.00,19486.00,1599.00,1280.45,NLC,COAL,,3390.00,19486.00,1646.00,1540.34,NLC,COAL,,3390.00,19486.00,1752.00,1722.88,NLC,COAL,,3390.00,18870.00,1563.00,1698.92,NLC,COAL,,3390.00,18870.00,1627.00,1941.71,NLC,COAL,,3390.00,18870.00,1417.00,1981.57,NLC,COAL,,3390.00,18870.00,1556.00,1936.94,NLC,COAL,,3390.00,18870.00,1497.00,1661.54,NLC,COAL,,3390.00,18870.00,1621.00,1804.21,NLC,COAL,,3390.00,18870.00,1539.00,1606.92,NLC,COAL,,3390.00,18870.00,1622.00,1193.67,NLC,COAL,,3390.00,18870.00,1324.00,1747.88,40180.00,228288.00,12203.00,26077.44
VALLUR TPP,,,1500.00,7950.00,703.00,645.28,VALLUR TPP,,,1500.00,7950.00,711.00,699.66,VALLUR TPP,,,1500.00,7950.00,705.00,687.93,VALLUR TPP,,,1500.00,8000.00,730.00,829.15,VALLUR TPP,,,1500.00,8000.00,755.00,496.49,VALLUR TPP,,,1500.00,8000.00,730.00,657.84,VALLUR TPP,,,1500.00,8000.00,492.00,711.89,VALLUR TPP,,,1500.00,8000.00,594.00,595.46,VALLUR TPP,,,1500.00,8000.00,476.00,659.78,VALLUR TPP,,,1500.00,8000.00,585.00,518.75,VALLUR TPP,,,1500.00,8000.00,730.00,501.91,VALLUR TPP,,,1500.00,8000.00,718.00,728.53,18000.00,95850.00,5080.00,9950.65
NTECL,COAL,,1500.00,7950.00,703.00,645.28,NTECL,COAL,,1500.00,7950.00,711.00,699.66,NTECL,COAL,,1500.00,7950.00,705.00,687.93,NTECL,COAL,,1500.00,8000.00,730.00,829.15,NTECL,COAL,,1500.00,8000.00,755.00,496.49,NTECL,COAL,,1500.00,8000.00,730.00,657.84,NTECL,COAL,,1500.00,8000.00,492.00,711.89,NTECL,COAL,,1500.00,8000.00,594.00,595.46,NTECL,COAL,,1500.00,8000.00,476.00,659.78,NTECL,COAL,,1500.00,8000.00,585.00,518.75,NTECL,COAL,,1500.00,8000.00,730.00,501.91,NTECL,COAL,,1500.00,8000.00,718.00,728.53,18000.00,95850.00,5080.00,9950.65
TUTICORIN (JV) TPP,,,1000.00,6100.00,536.00,442.61,TUTICORIN (JV) TPP,,,1000.00,6100.00,558.00,488.97,TUTICORIN (JV) TPP,,,1000.00,6100.00,539.00,497.20,TUTICORIN (JV) TPP,,,1000.00,5600.00,490.00,531.07,TUTICORIN (JV) TPP,,,1000.00,5600.00,505.00,418.54,TUTICORIN (JV) TPP,,,1000.00,5600.00,311.00,377.32,NTPL TUTICORIN  TPP,,,1000.00,5600.00,386.00,406.50,NTPL TUTICORIN  TPP,,,1000.00,5600.00,505.00,548.18,NTPL TUTICORIN  TPP,,,1000.00,5600.00,490.00,294.50,NTPL TUTICORIN  TPP,,,1000.00,5600.00,451.00,180.02,NTPL TUTICORIN  TPP,,,1000.00,5600.00,490.00,221.30,NTPL TUTICORIN  TPP,,,1000.00,5600.00,505.00,278.01,12000.00,68700.00,3643.00,6367.37
NTPL,COAL,,1000.00,6100.00,536.00,442.61,NTPL,COAL,,1000.00,6100.00,558.00,488.97,NTPL,COAL,,1000.00,6100.00,539.00,497.20,NTPL,COAL,,1000.00,5600.00,490.00,531.07,NTPL,COAL,,1000.00,5600.00,505.00,418.54,NTPL,COAL,,1000.00,5600.00,311.00,377.32,NTPL,COAL,,1000.00,5600.00,386.00,406.50,NTPL,COAL,,1000.00,5600.00,505.00,548.18,NTPL,COAL,,1000.00,5600.00,490.00,294.50,NTPL,COAL,,1000.00,5600.00,451.00,180.02,NTPL,COAL,,1000.00,5600.00,490.00,221.30,NTPL,COAL,,1000.00,5600.00,505.00,278.01,12000.00,68700.00,3643.00,6367.37
CENTRAL ,THERMAL,,5390.00,33536.00,2838.00,2368.34,CENTRAL ,THERMAL,,5890.00,33536.00,2915.00,2728.97,CENTRAL ,THERMAL,,5890.00,33536.00,2996.00,2908.01,CENTRAL ,THERMAL,,5890.00,32470.00,2783.00,3059.14,CENTRAL ,THERMAL,,5890.00,32470.00,2887.00,2856.74,CENTRAL ,THERMAL,,5890.00,32470.00,2458.00,3016.73,CENTRAL ,THERMAL,,5890.00,32470.00,2434.00,3055.33,CENTRAL ,THERMAL,,5890.00,32470.00,2596.00,2805.18,CENTRAL ,THERMAL,,5890.00,32470.00,2587.00,2758.49,CENTRAL ,THERMAL,,5890.00,32470.00,2575.00,2305.69,CENTRAL ,THERMAL,,5890.00,32470.00,2842.00,1916.88,CENTRAL ,THERMAL,,5890.00,32470.00,2547.00,2754.42,70180.00,392838.00,20926.00,42395.46
KUDANKULAM,,,2000.00,10710.00,1116.00,1132.37,KUDANKULAM,,,2000.00,10710.00,504.00,683.23,KUDANKULAM,,,2000.00,10710.00,558.00,669.80,KUDANKULAM,,,2000.00,12155.00,985.00,871.27,KUDANKULAM,,,2000.00,12155.00,1275.00,1401.53,KUDANKULAM,,,2000.00,12155.00,867.00,1181.74,KUDANKULAM,,,2000.00,12155.00,643.00,754.85,KUDANKULAM,,,2000.00,12155.00,745.00,643.03,KUDANKULAM,,,2000.00,12155.00,1234.00,1315.67,KUDANKULAM,,,2000.00,12155.00,1275.00,1469.06,KUDANKULAM,,,2000.00,12155.00,1234.00,1271.36,KUDANKULAM,,,2000.00,12155.00,1274.00,1508.56,24000.00,141525.00,8547.00,18092.80
MADRAS  A.P.S.,,,440.00,2694.00,114.00,131.38,MADRAS  A.P.S.,,,440.00,2694.00,162.00,114.59,MADRAS  A.P.S.,,,440.00,2694.00,245.00,143.76,MADRAS  A.P.S.,,,440.00,1635.00,134.00,32.51,MADRAS  A.P.S.,,,440.00,1635.00,139.00,0.00,MADRAS  A.P.S.,,,440.00,1635.00,134.00,5.17,MADRAS  A.P.S.,,,440.00,1635.00,139.00,139.38,MADRAS  A.P.S.,,,440.00,1635.00,139.00,115.60,MADRAS  A.P.S.,,,440.00,1635.00,134.00,0.00,MADRAS  A.P.S.,,,440.00,1635.00,139.00,119.58,MADRAS  A.P.S.,,,440.00,1635.00,134.00,139.84,MADRAS  A.P.S.,,,440.00,1635.00,139.00,145.86,5280.00,22797.00,1097.00,1762.43
NPCIL,NUCLEAR,,2440.00,13404.00,1230.00,1263.75,NPCIL,NUCLEAR,,2440.00,13404.00,666.00,797.82,NPCIL,NUCLEAR,,2440.00,13404.00,803.00,813.56,NPCIL,NUCLEAR,,2440.00,13790.00,1119.00,903.78,NPCIL,NUCLEAR,,2440.00,13790.00,1414.00,1401.53,NPCIL,NUCLEAR,,2440.00,13790.00,1001.00,1186.91,NPCIL,NUCLEAR,,2440.00,13790.00,782.00,894.23,NPCIL,NUCLEAR,,2440.00,13790.00,884.00,758.63,NPCIL,NUCLEAR,,2440.00,13790.00,1368.00,1315.67,NPCIL,NUCLEAR,,2440.00,13790.00,1414.00,1588.64,NPCIL,NUCLEAR,,2440.00,13790.00,1368.00,1411.20,NPCIL,NUCLEAR,,2440.00,13790.00,1413.00,1654.42,29280.00,164322.00,9644.00,19855.23
CENTRAL ,NUCLEAR,,2440.00,13404.00,1230.00,1263.75,CENTRAL ,NUCLEAR,,2440.00,13404.00,666.00,797.82,CENTRAL ,NUCLEAR,,2440.00,13404.00,803.00,813.56,CENTRAL ,NUCLEAR,,2440.00,13790.00,1119.00,903.78,CENTRAL ,NUCLEAR,,2440.00,13790.00,1414.00,1401.53,CENTRAL ,NUCLEAR,,2440.00,13790.00,1001.00,1186.91,CENTRAL ,NUCLEAR,,2440.00,13790.00,782.00,894.23,CENTRAL ,NUCLEAR,,2440.00,13790.00,884.00,758.63,CENTRAL ,NUCLEAR,,2440.00,13790.00,1368.00,1315.67,CENTRAL ,NUCLEAR,,2440.00,13790.00,1414.00,1588.64,CENTRAL ,NUCLEAR,,2440.00,13790.00,1368.00,1411.20,CENTRAL ,NUCLEAR,,2440.00,13790.00,1413.00,1654.42,29280.00,164322.00,9644.00,19855.23
TOTAL                  THERMAL,,,12871.70,71430.00,6117.00,4312.37,TOTAL                  THERMAL,,,13371.70,71430.00,6370.00,4621.80,TOTAL                  THERMAL,,,13371.70,71430.00,6338.00,5693.92,TOTAL                  THERMAL,,,13371.70,73030.00,6386.00,5979.18,TOTAL                  THERMAL,,,13371.70,73030.00,6613.00,4803.20,TOTAL                  THERMAL,,,13371.70,73030.00,5474.00,5010.61,TOTAL                  THERMAL,,,13371.70,73030.00,5394.00,5120.29,TOTAL                  THERMAL,,,13371.70,73030.00,5270.00,5434.54,TOTAL                  THERMAL,,,13371.70,73030.00,6095.00,4689.24,TOTAL                  THERMAL,,,13371.70,73030.00,6299.00,4746.48,TOTAL                  THERMAL,,,13896.70,73030.00,6108.00,3575.35,TOTAL                  THERMAL,,,13896.70,73030.00,5909.00,4995.72,161010.41,871560.00,47162.00,85537.43
TOTAL                  NUCLEAR,,,2440.00,13404.00,1230.00,1263.75,TOTAL                  NUCLEAR,,,2440.00,13404.00,666.00,797.82,TOTAL                  NUCLEAR,,,2440.00,13404.00,803.00,813.56,TOTAL                  NUCLEAR,,,2440.00,13790.00,1119.00,903.78,TOTAL                  NUCLEAR,,,2440.00,13790.00,1414.00,1401.53,TOTAL                  NUCLEAR,,,2440.00,13790.00,1001.00,1186.91,TOTAL                  NUCLEAR,,,2440.00,13790.00,782.00,894.23,TOTAL                  NUCLEAR,,,2440.00,13790.00,884.00,758.63,TOTAL                  NUCLEAR,,,2440.00,13790.00,1368.00,1315.67,TOTAL                  NUCLEAR,,,2440.00,13790.00,1414.00,1588.64,TOTAL                  NUCLEAR,,,2440.00,13790.00,1368.00,1411.20,TOTAL                  NUCLEAR,,,2440.00,13790.00,1413.00,1654.42,29280.00,164322.00,9644.00,19855.23
TOTAL                  NATURAL GAS,,,1017.18,2484.00,220.00,132.56,TOTAL                  NATURAL GAS,,,1017.18,2484.00,201.00,105.53,TOTAL                  NATURAL GAS,,,1017.18,2484.00,198.00,108.12,TOTAL                  NATURAL GAS,,,1017.18,2360.00,191.00,128.20,TOTAL                  NATURAL GAS,,,1017.18,2360.00,199.00,118.63,TOTAL                  NATURAL GAS,,,1017.18,2360.00,192.00,142.96,TOTAL                  NATURAL GAS,,,1017.18,2360.00,200.00,129.16,TOTAL                  NATURAL GAS,,,1017.18,2360.00,202.00,149.85,TOTAL                  NATURAL GAS,,,1017.18,2360.00,194.00,152.35,TOTAL                  NATURAL GAS,,,1017.18,2360.00,203.00,161.43,TOTAL                  NATURAL GAS,,,1017.18,2360.00,194.00,153.90,TOTAL                  NATURAL GAS,,,1017.18,2360.00,202.00,147.99,12206.16,28692.00,1586.00,2742.27
TOTAL                  HYDRO,,,2178.20,4040.00,326.00,374.59,TOTAL                  HYDRO,,,2178.20,4040.00,249.00,312.75,TOTAL                  HYDRO,,,2178.20,4040.00,182.00,280.81,TOTAL                  HYDRO,,,2178.20,4483.00,205.00,223.32,TOTAL                  HYDRO,,,2178.20,4483.00,202.00,199.12,TOTAL                  HYDRO,,,2178.20,4483.00,276.00,430.84,TOTAL                  HYDRO,,,2178.20,4483.00,352.00,524.03,TOTAL                  HYDRO,,,2178.20,4483.00,483.00,579.35,TOTAL                  HYDRO,,,2178.20,4483.00,605.00,501.16,TOTAL                  HYDRO,,,2178.20,4483.00,554.00,476.37,TOTAL                  HYDRO,,,2178.20,4483.00,411.00,551.86,TOTAL                  HYDRO,,,2178.20,4483.00,494.00,541.47,26138.40,52467.00,3377.00,7181.20
TOTAL  TAMIL NADU,,,18507.08,91358.00,7893.00,6083.27,TOTAL  TAMIL NADU,,,19007.08,91358.00,7486.00,5837.90,TOTAL  TAMIL NADU,,,19007.08,91358.00,7521.00,6896.41,TOTAL  TAMIL NADU,,,19007.08,93663.00,7901.00,7234.48,TOTAL  TAMIL NADU,,,19007.08,93663.00,8428.00,6522.48,TOTAL  TAMIL NADU,,,19007.08,93663.00,6943.00,6771.32,TOTAL  TAMIL NADU,,,19007.08,93663.00,6728.00,6667.71,TOTAL  TAMIL NADU,,,19007.08,93663.00,6839.00,6922.37,TOTAL  TAMIL NADU,,,19007.08,93663.00,8262.00,6658.42,TOTAL  TAMIL NADU,,,19007.08,93663.00,8470.00,6972.92,TOTAL  TAMIL NADU,,,19532.08,93663.00,8081.00,5692.31,TOTAL  TAMIL NADU,,,19532.08,93663.00,8018.00,7339.60,228634.97,1117041.00,61769.00,115316.13
