title_original,text_original,posted_on_original,date_of_power_shutdown
Daily 2 hours power cut from today," As the wind speeds have reduced in Tamil Nadu, the electric power generated through windmills as also reduced.",Posted On : 17/Sep/2018 11:18:21 AM,2
Power shutdown areas in Chennai on 18-09-18, Power supply will be suspended in the following areas on 18-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 17/Sep/2018 9:20:19 AM,180918
Power shutdown areas in Chennai on Saturday(15-09-18 ),"   Power supply will be suspended in the following areas on 15-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. 
",Posted On : 14/Sep/2018 9:25:07 AM,150918
Power shutdown areas in Chennai on 12-09-18, Power supply will be suspended in the following areas on 12-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 11/Sep/2018 9:18:36 AM,120918
Power shutdown areas in Chennai on 11-09-18, Power supply will be suspended in the following areas on 11-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 10/Sep/2018 9:37:11 AM,110918
Power cut in Chennai on Monday (10 Sep 2018), Power supply will be suspended in the following areas on 10-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 10/Sep/2018 7:50:59 AM,102018
Rise of power demand in Tamil Nadu, Compared to the last year the power demand of Tamil Nadu has considerably increased leading to the power purchase from private power generating companies.,Posted On : 07/Sep/2018 12:14:18 PM,n/a
Power shutdown areas in Chennai on 08-09-18, Power supply will be suspended in the following areas on 08-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 07/Sep/2018 9:30:42 AM,080918
Power shutdown areas in Chennai on 07-09-18, Power supply will be suspended in the following areas on 07-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 06/Sep/2018 11:15:14 AM,070918
Power shutdown areas in Chennai on 06-09-18, Power supply will be suspended in the following areas on 06-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 05/Sep/2018 9:24:51 AM,060918
Power shutdown areas in Chennai on 05-09-18, Power supply will be suspended in the following areas on 05-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 04/Sep/2018 9:37:21 AM,050918
There would be 5 additional substations in Central Chennai soon, Frequent power cuts have been creating lots of problems to the residents of Central Chennai is known.,Posted On : 03/Sep/2018 9:45:55 AM,5
Power shutdown areas in Chennai on 03-09-18, Power supply will be suspended in the following areas on 03-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 02/Sep/2018 3:26:23 PM,030918
Power shutdown areas in Chennai on 01-09-18, Power supply will be suspended in the following areas on 01-09-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 31/Aug/2018 9:43:23 AM,010918
Power shutdown areas in Chennai on 31-08-18, Power supply will be suspended in the following areas on 31-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 30/Aug/2018 9:43:55 AM,310818
Power shutdown areas in Chennai on 30-08-18, Power supply will be suspended in the following areas on 30-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 29/Aug/2018 9:55:59 AM,300818
Power shutdown areas in Chennai on 29-08-18, Power supply will be suspended in the following areas on 29-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 28/Aug/2018 9:59:59 AM,290818
Power shutdown areas in Chennai on 28-08-18, Power supply will be suspended in the following areas on 28-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 27/Aug/2018 9:36:29 AM,280818
Power shutdown areas in Chennai on 27-08-18, Power supply will be suspended in the following areas on 27-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 26/Aug/2018 10:26:30 AM,270818
Power shutdown areas in Chennai on 24th Aug 2018( Friday),"   For carrying out maintenance work, power supply will be suspended in the following areas on August 23 from 9 am to 4 pm: 
",Posted On : 23/Aug/2018 9:57:24 AM,242018
Power shutdown areas in Chennai on 23 Aug 2018," For carrying out maintenance work, power supply will be suspended in the following areas on  August 23 from 9 am to 4 pm: ",Posted On : 22/Aug/2018 9:45:26 AM,232018
Power shutdown areas in Chennai on 21-08-18, Power supply will be suspended in the following areas on 21-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 20/Aug/2018 9:48:50 AM,210818
Power shutdown areas in Chennai on 18-08-18, Power supply will be suspended in the following areas on 18-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 17/Aug/2018 8:34:30 AM,180818
Power shutdown areas in Chennai on 17-08-18, Power supply will be suspended in the following areas on 17-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 16/Aug/2018 9:34:08 AM,170818
Power shutdown areas in Chennai on 14-08-18, Power supply will be suspended in the following areas on 14-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 13/Aug/2018 9:54:33 AM,140818
Power shutdown areas in Chennai on 13-08-18, Power supply will be suspended in the following areas on 13-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 12/Aug/2018 3:29:33 PM,130818
Power shutdown areas in Chennai on 11-08-18, Power supply will be suspended in the following areas on 11-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 10/Aug/2018 9:51:17 AM,110818
Power shutdown areas in Chennai on 09-08-18, Power supply will be suspended in the following areas on 09-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 08/Aug/2018 2:57:49 PM,090818
Power shutdown areas in Chennai on 08-08-18, Power supply will be suspended in the following areas on 08-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 07/Aug/2018 9:28:58 AM,080818
Power shutdown areas in Chennai on 07-08-18, Power supply will be suspended in the following areas on 07-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 06/Aug/2018 10:16:18 AM,070818
Power shutdown areas in Chennai today (6th August), Power supply will be suspended in the following areas on 06-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 06/Aug/2018 9:42:03 AM,6
Power shutdown areas in Chennai on 04-08-18, Power supply will be suspended in the following areas on 04-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 03/Aug/2018 11:07:51 AM,040818
Power shutdown areas in Chennai on 03-08-18, Power supply will be suspended in the following areas on 03-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 02/Aug/2018 9:40:30 AM,030818
Power shutdown areas in Chennai on 02-08-18, Power supply will be suspended in the following areas on 02-08-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 01/Aug/2018 9:34:35 AM,020818
Power shutdown areas in Chennai on 31-07-18, Power supply will be suspended in the following areas on 31-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 30/Jul/2018 10:24:14 AM,310718
Power shutdown areas in Chennai on 28-07-18, Power supply will be suspended in the following areas on 28-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 27/Jul/2018 9:47:39 AM,280718
Power shutdown areas in Chennai on 27-07-18, Power supply will be suspended in the following areas on 27-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 26/Jul/2018 9:25:45 AM,270718
Power shutdown areas in Chennai on 26-07-18, Power supply will be suspended in the following areas on 26-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 25/Jul/2018 9:46:53 AM,260718
Power shutdown areas in Chennai on 25-07-18, Power supply will be suspended in the following areas on 25-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 24/Jul/2018 9:50:06 AM,250718
Power supply to be suspended tomorrow (24 Jul 2018), Power will be suspended in the following areas on Tuesday from 9 am to 4 pm in view of maintenance works.,Posted On : 23/Jul/2018 10:03:05 AM,242018
Power shutdown areas in Chennai on 21-07-18, Power supply will be suspended in the following areas on 21-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 20/Jul/2018 10:34:32 AM,210718
Power shutdown areas in Chennai on 20-07-18, Power supply will be suspended in the following areas on 20-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 19/Jul/2018 10:54:12 AM,200718
Power shutdown areas in Chennai on 19-07-18, Power supply will be suspended in the following areas on 19-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 18/Jul/2018 9:57:48 AM,190718
Power shutdown areas in Chennai on 18-07-18, Power supply will be suspended in the following areas on 18-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 17/Jul/2018 10:02:25 AM,180718
Power shutdown areas in Chennai on 17-07-18, Power supply will be suspended in the following areas on 17-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 16/Jul/2018 12:45:48 PM,170718
Power shutdown areas in Chennai on 14-07-18, Power supply will be suspended in the following areas on 14-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 13/Jul/2018 10:02:04 AM,140718
Power shutdown areas in Chennai on 13-07-18, Power supply will be suspended in the following areas on 13-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 12/Jul/2018 10:00:56 AM,130718
Power shutdown areas in Chennai on 12-07-18, Power supply will be suspended in the following areas on 12-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 11/Jul/2018 10:10:49 AM,120718
Power shutdown areas in Chennai on 11-07-18, Power supply will be suspended in the following areas on 11-07-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 10/Jul/2018 10:07:35 AM,110718
Why sudden power cuts occur in the suburban areas?, The public has been put to undue huge hardships due to the sudden and unannounced power cuts in the suburban and the rural/village areas. There is a daily demand of electricity of 14000 MW in the state of Tamil Nadu.,Posted On : 04/Jul/2018 3:32:50 PM,n/a
Concession for online payment of electricity bill, Information is gathered that TANGEDCO has decided to offer 1% concession for the payment of the electricity bills.,Posted On : 02/Jul/2018 5:49:47 PM,n/a
Power shutdown areas in Chennai on 30-06-18, Power supply will be suspended in the following areas on 30-06-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 29/Jun/2018 9:42:51 AM,300618
Power shutdown areas in Chennai on 28-06-18, Power supply will be suspended in the following areas on 28-06-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 27/Jun/2018 10:20:06 AM,280618
Erratic power supply in Iyyapanthangal in Chennai is an issue now," Iyyapanthangal is an important residential place in Chennai and is now making news. It is now said that there has been many power cuts plus voltage fluctuations in Subbaiah Nagar,",Posted On : 25/Jun/2018 9:36:13 AM,n/a
Charges for new selectivity connections set to go up in Tamil Nadu, TANGEDCO has decided to increase the charges for new selectivity connections. This is likely to be effective immediately after the approval is received from the Electricity regulation commission.,Posted On : 21/Jun/2018 3:37:55 PM,n/a
The TN government has now got plans to set up 25 EB sub-stations, The latest news is the government of Tamil Nadu has proposed to set up as many as 25 EB sub-stations and a staggering amount of Rs 5060 crores would be spent on this. This was announced by chief minister.,Posted On : 13/Jun/2018 10:01:08 AM,25
Electricity bill payment - 1% discount offer on the digital payment," Following the persistent recommendations of the central government encouraging digital payment transactions, TANGEDCO has decided to offer 1% discount for all payments made on digital mode.",Posted On : 12/Jun/2018 11:47:27 AM,1
Power shutdown areas in Chennai on 11-05-18, Power supply will be suspended in the following areas on 11-05-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 10/May/2018 10:20:54 AM,110518
Power shutdown areas in Chennai on 10-05-18, Power supply will be suspended in the following areas on 10-05-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 09/May/2018 10:44:03 AM,100518
Power shutdown areas in Chennai on 09-05-18, Power supply will be suspended in the following areas on 09-05-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 08/May/2018 10:10:07 AM,090518
Power shutdown areas in Chennai on 08-05-18, Power supply will be suspended in the following areas on 08-05-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 07/May/2018 10:12:37 AM,080518
Power shutdown areas in Chennai on 05-05-18, Power supply will be suspended in the following areas on 05-05-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 04/May/2018 11:38:21 AM,050518
Fault in the transmission line from Manali causes blackout in south Chennai, Issues regarding continuous power supply during the summer season are never ending. In the recent times we have been hearing news regarding lack of power supply in many places in Chennai.,Posted On : 01/May/2018 10:21:17 AM,n/a
Frequent power-cuts in your area? Power shortage may not be the reason," In several urban sections of the Chennai Metro City, people have been put to great hardships because of the unannounced and sudden power cuts.",Posted On : 30/Apr/2018 4:42:19 PM,n/a
Power shutdown areas in Chennai on 28-04-18, Power supply will be suspended in the following areas on 28-04-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 27/Apr/2018 10:58:07 AM,280418
Power shutdown areas in Chennai on 27-04-18, Power supply will be suspended in the following areas on 27-04-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 26/Apr/2018 10:12:59 AM,270418
Power shutdown areas in Chennai on 26-04-18, Power supply will be suspended in the following Chennai areas on tomorrow Thrusday (26-04-18) between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 25/Apr/2018 7:43:58 PM,260418
The unscheduled power cuts in Chennai city is an issue now, The summer is on and in the next few months Chennai people would be facing unbearable heat. It is known that people find their lives tough in the summer heat.,Posted On : 25/Apr/2018 9:44:34 AM,n/a
The 9 hour power cut in the southern suburbs in Chennai made lives difficult for the people, Summer season and power cuts go hand in hand is known. We are in the month of April and peak summer has not come yet. On Sunday 1st of April there was 9 hours of power cut in the southern suburbs in Chennai.,Posted On : 03/Apr/2018 10:04:07 AM,9
Power shutdown areas in Chennai on 07-02-18, Power supply will be suspended in the following areas on 07-02-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 06/Feb/2018 10:09:52 AM,070218
Power shutdown areas in Chennai on 06-02-18, Power supply will be suspended in the following areas on 06-02-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 05/Feb/2018 9:35:50 AM,060218
Power shutdown areas in Chennai on 03-02-18, Power supply will be suspended in the following areas on 03-02-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 02/Feb/2018 10:15:37 AM,030218
Power shutdown areas in Chennai on 02-02-18, Power supply will be suspended in the following areas on 02-02-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 01/Feb/2018 10:31:30 AM,020218
Power shutdown areas in Chennai on 01-02-18, Power supply will be suspended in the following areas on 01-02-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 31/Jan/2018 10:13:50 AM,010218
Chennai Power Shutdown Areas on 31-01-2018," Power supply will be suspended in the following areas on 31.01.2018 from 09.00 am to 04.00 pm for maintenance work.

",Posted On : 30/Jan/2018 11:02:15 AM,01-31-2018
Power shutdown areas in Chennai on 30-01-18, Power supply will be suspended in the following areas on 30-01-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 29/Jan/2018 10:03:37 AM,300118
Power shutdown areas in Chennai on 25-01-18, Power supply will be suspended in the following areas on 25-01-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 24/Jan/2018 10:19:04 AM,250118
Power shutdown areas in Chennai on 24-01-18, Power supply will be suspended in the following areas on 24-01-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 23/Jan/2018 10:38:32 AM,240118
Power shutdown areas in Chennai on 20-01-18, Power supply will be suspended in the following areas on 20-01-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 19/Jan/2018 10:20:44 AM,200118
Power consumption level goes down during the Pongal festive days," As successive holidays were declared by both the public and private sector organisations for the Pongal festive season, the power requirement in Tamil Nadu came down appreciably during this holiday period.",Posted On : 17/Jan/2018 3:33:16 PM,n/a
Power shutdown areas in Chennai on 18-01-18, Power supply will be suspended in the following areas on 18-01-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 17/Jan/2018 10:26:40 AM,180118
Power shutdown areas in Chennai on 06-01-18, Power supply will be suspended in the following areas on 06-01-18 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 05/Jan/2018 11:32:45 AM,060118
TNEB announces WhatsApp compliant numbers for power failure," TNEB has introduced the facility to make complaints through WhatsApp. For this purpose, district-wise WhatsApp numbers have been announced.",Posted On : 27/Dec/2017 5:06:26 PM,n/a
Power shutdown areas in Chennai on 28-12-17, Power supply will be suspended in the following areas on 28-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 27/Dec/2017 10:10:58 AM,281217
Power shutdown areas in Chennai on 23-12-17, Power supply will be suspended in the following areas on 23-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 22/Dec/2017 10:36:37 AM,231217
Power shutdown areas in Chennai on 21-12-17, Power supply will be suspended in the following areas on 21-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 20/Dec/2017 9:57:29 AM,211217
Power shutdown areas in Chennai on 20-12-17, Power supply will be suspended in the following areas on 20-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 19/Dec/2017 3:37:18 PM,201217
Power shutdown areas in Chennai on 16-12-17, Power supply will be suspended in the following areas on 16-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 15/Dec/2017 9:48:32 AM,161217
Power shutdown areas in Chennai on 15-12-17, Power supply will be suspended in the following areas on 15-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed. ,Posted On : 14/Dec/2017 10:31:45 AM,151217
Power shutdown areas in Chennai on 13-12-17, Power supply will be suspended in the following areas on 13-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 12/Dec/2017 11:38:40 AM,131217
Power shutdown areas in Chennai on 12-12-17," Power supply will be suspended in the following areas on 12-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.
",Posted On : 11/Dec/2017 12:05:37 PM,121217
Power shutdown areas in Chennai on 08-12-17, Power supply will be suspended in the following areas on 08-12-17 between 9.00 A.M. to 4.00 P.M. for maintenance work. Supply will be resumed before 4.00 P.M. if the works are completed.,Posted On : 07/Dec/2017 3:36:25 PM,081217
Power shutdown areas in Chennai on 07-11-17, Power supply will be suspended in the following areas on 07-11-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 04/Nov/2017 4:00:27 PM,071117
Power shutdown areas in Chennai on 04-11-17, Power supply will be suspended in the following areas on 04-11-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 02/Nov/2017 4:09:38 PM,041117
Power shutdown areas in Chennai on 31-10-17, Power supply will be suspended in the following areas on 31-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 29/Oct/2017 10:48:28 AM,311017
Power shutdown areas in Chennai on 30-10-17, Power supply will be suspended in the following areas on 30-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 29/Oct/2017 10:35:37 AM,301017
Power shutdown areas in Chennai on 28-10-17, Power supply will be suspended in the following areas on 28-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 26/Oct/2017 4:15:00 PM,281017
Power shutdown areas in Chennai on 24-10-17, Power supply will be suspended in the following areas on 24-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed.,Posted On : 21/Oct/2017 4:37:01 PM,241017
Power shutdown areas in Chennai on 23-10-17, Power supply will be suspended in the following areas on 23-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed.,Posted On : 21/Oct/2017 3:49:09 PM,231017
Power shutdown areas in Chennai on 16-10-17, Power supply will be suspended in the following areas on 16-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 14/Oct/2017 3:02:07 PM,161017
Power shutdown areas in Chennai on 13-10-17, Power supply will be suspended in the following areas on 13-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed.,Posted On : 11/Oct/2017 3:56:00 PM,131017
Power shutdown areas in Chennai on 12-10-17, Power supply will be suspended in the following areas on 12-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 10/Oct/2017 4:01:51 PM,121017
Power shutdown areas in Chennai on 11-10-17, Power supply will be suspended in the following areas on 11-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed.,Posted On : 10/Oct/2017 9:48:14 AM,111017
Power shutdown areas in Chennai on 10-10-17," Power supply will be suspended in the following areas on 10-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. 
",Posted On : 07/Oct/2017 4:43:17 PM,101017
Power shutdown areas in Chennai on 07-10-17," Power supply will be suspended in the following areas on 07-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are 
completed. ",Posted On : 05/Oct/2017 4:18:42 PM,071017
Power shutdown areas in Chennai on 05-10-17, Power supply will be suspended in the following areas on 05-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 03/Oct/2017 7:03:32 PM,051017
Power shutdown areas in Chennai on 04-10-17, Power supply will be suspended in the following areas on 04-10-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 03/Oct/2017 6:01:53 PM,041017
Power shutdown areas in Chennai on 27-09-17, Power supply will be suspended in the following areas on 27-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 25/Sep/2017 4:35:50 PM,270917
Power shutdown areas in Chennai on 26-09-17, Power supply will be suspended in the following areas on 26-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 23/Sep/2017 4:29:04 PM,260917
Power shutdown areas in Chennai on 25-09-17, Power supply will be suspended in the following areas on 25-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 23/Sep/2017 4:02:25 PM,250917
Power shutdown areas in Chennai on 23-09-17, Power supply will be suspended in the following areas on 23-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed.,Posted On : 22/Sep/2017 4:28:44 PM,230917
Power shutdown areas in Chennai on 22-09-17, Power supply will be suspended in the following areas on 20-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed.,Posted On : 21/Sep/2017 10:37:17 AM,220917
Power shutdown areas in Chennai on 20-09-17, Power supply will be suspended in the following areas on 20-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 18/Sep/2017 4:09:31 PM,200917
Power shutdown areas in Chennai on 19-09-17, Power supply will be suspended in the following areas on 19-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 16/Sep/2017 4:37:36 PM,190917
Power shutdown areas in Chennai on 18-09-17, Power supply will be suspended in the following areas on 18-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 16/Sep/2017 3:58:54 PM,180917
Power shutdown areas in Chennai on 16-09-17, Power supply will be suspended in the following areas on 16-09-17 between 9.00 A.M. to 2.00 P.M. for maintenance work. Supply will be resumed before 2.00 P.M. if the works are completed. ,Posted On : 15/Sep/2017 3:50:52 PM,160917
